账号名称,视频名称,视频观看量(W),弹幕数（W）,类别分类,风格分类（playful patriotism）,上游视频发布主体,上游视频数量,上游视频浏览量,下游视频发布主体,下游视频数量,下游视频浏览量,所属四类类别
环球时报,【联合国安理会互怼日常】我国代表战斗力爆表：不服？憋,910,3.9,（3）政治外交类,playful,N/A,N/A,N/A,Official,100,"50,000",
四川共青团,我们的希望小学已投入使用！一起来看看吧！,888.8,3.5,（1）国家、民族精神体现类,not playful,Non-official,3,"500,000",Non-official,6,"600,000",
广东共青团,习近平跟袁隆平的悄悄话，被我听到了,864.5,0,（1）国家、民族精神体现类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
广东共青团,游戏里的基建狂魔，看不一样的中国！｜Minecraft,944.7,4.3,（2）国家成就类,not playful,Non-official,1,"100,000",Non-official,8,"10,000",
共青团中央,102位UP主花式演绎《我和我的祖国》,854,17.8,（5）思想教育、价值观引导类,not playful,Official&Non-official,20,"500,000",Official & Non-official,100,"1,000,000",
浙江共青团,中国CHINA！3分钟感受来自中国的声音，全程鸡皮疙瘩超,925.9,7.7,（4）国家民族历史与文化类,not playful,Non-official,1,"100,000",Non-official,7,"10,000",
广东共青团,香港大爷刀清乱港标语无人敢拦：你大爷还是你大爷！,825.5,0.6272,（3）政治外交类,not playful,Official,1,"2,000,000",Official,1,"150,000",
共青团中央,【局座泪奔完整版】外敌说我们还能抵抗，可公知大V说我,811.4,3.6,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,Official & Non-official,6,"100,000",
共青团中央,战士要买炸鸡，被班长怼回去，买个锤子,826.4,0.3545,（1）国家、民族精神体现类,playful ,N/A,N/A,N/A,N/A,N/A,N/A,
共青团中央,这群大学生火了，汪峰也在求联系…,824.1,4.5,（5）思想教育、价值观引导类,not playful,Non-official,1,"460,000",Non-official,2,"8,000",
共青团中央,炸裂！史上最强特警宣传片！,785,1.5,（2）国家成就类,not playful,Non-official,1,"30,000",Non-official,10,"10,000",
观察者网,黑人小哥教你用星巴克躲避美国警察,802.4,0.2996,（3）政治外交类,playful,N/A,N/A,N/A,N/A,N/A,N/A,
共青团中央,这部动画曾因不切实际被人嘲讽，但6年后现实却打了所有,729.4,5.1,（5）思想教育、价值观引导类,not playful,Non-official,2,"100,000",Non-official,4,"10,000",
共青团中央,超级工程Ⅲ （240min）已下架,717.8,,（2）国家成就类,,,,,,,,
央视新闻,加勒万河谷冲突现场画面曝光,710.9,6.9,（3）政治外交类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
